INFO - 2019-01-06 11:55:39,354 - 开始执行脚本 index.py
INFO - 2019-01-07 00:12:06,428 - 点击hot_a[x1]: <a title="新的一年，希望你喜欢的人也喜欢你" href="/playlist?id=2553249650" class="msk" data-res-id="2553249650" data-res-type="13" data-res-action="log" data-res-data="recommendclick|0|featured|user-playlist"></a>
INFO - 2019-01-07 00:12:31,371 - 点击歌曲<a href="/song?id=573384240"><b title="如约而至">如<div class="soil">支才</div>约而至</b></a>
INFO - 2019-01-07 00:12:45,117 - 点击歌曲<a href="/song?id=92778"><b title="她的眼睛会下雨">她<div class="soil">顎</div>的眼睛会下雨</b></a>
INFO - 2019-01-07 00:12:59,412 - 点击歌曲<a href="/song?id=557407051"><b title="每一句都很甜">每一<div class="soil">祔浮毹鉹</div>句都很甜</b></a>
INFO - 2019-01-07 00:20:22,076 - 开始执行脚本 index.py
INFO - 2019-01-07 00:20:38,476 - 点击hot_a[x1]: <a title="新的一年，希望你喜欢的人也喜欢你" href="/playlist?id=2553249650" class="msk" data-res-id="2553249650" data-res-type="13" data-res-action="log" data-res-data="recommendclick|0|featured|user-playlist"></a>
INFO - 2019-01-07 00:21:05,219 - 点击歌曲<a href="/song?id=573384240"><b title="如约而至">如约<div class="soil">鳔戔鏜</div>而至</b></a>
INFO - 2019-01-07 00:21:19,024 - 点击歌曲<a href="/song?id=92778"><b title="她的眼睛会下雨">她的眼<div class="soil">法事参点</div>睛会下雨</b></a>
INFO - 2019-01-07 00:21:32,431 - 点击歌曲<a href="/song?id=557407051"><b title="每一句都很甜">每一句<div class="soil">非被</div>都很甜</b></a>
INFO - 2019-01-07 00:21:52,398 - 点击歌曲<a href="/song?id=519136840"><b title="只只">只<div class="soil">参量儿</div>只</b></a>
INFO - 2019-01-07 00:29:52,593 - 开始执行脚本 index.py
INFO - 2019-01-07 00:30:08,213 - 点击hot_a[x1]: <a title="新的一年，希望你喜欢的人也喜欢你" href="/playlist?id=2553249650" class="msk" data-res-id="2553249650" data-res-type="13" data-res-action="log" data-res-data="recommendclick|0|featured|user-playlist"></a>
INFO - 2019-01-07 00:30:41,622 - 点击歌曲<a href="/song?id=573384240"><b title="如约而至">如<div class="soil">鼏晠</div>约而至</b></a>
INFO - 2019-01-07 00:34:22,360 - 开始执行脚本 index.py
INFO - 2019-01-07 00:34:36,729 - 点击hot_a[x1]: <a title="新的一年，希望你喜欢的人也喜欢你" href="/playlist?id=2553249650" class="msk" data-res-id="2553249650" data-res-type="13" data-res-action="log" data-res-data="recommendclick|0|featured|user-playlist"></a>
INFO - 2019-01-07 00:35:03,021 - 点击歌曲<a href="/song?id=573384240"><b title="如约而至">如<div class="soil">濈</div>约而至</b></a>
INFO - 2019-01-07 00:35:16,528 - 点击歌曲<a href="/song?id=92778"><b title="她的眼睛会下雨">她的<div class="soil">反就温</div>眼睛会下雨</b></a>
INFO - 2019-01-07 00:35:29,904 - 点击歌曲<a href="/song?id=557407051"><b title="每一句都很甜">每一句<div class="soil">支出有</div>都很甜</b></a>
INFO - 2019-01-07 00:35:43,130 - 点击歌曲<a href="/song?id=519136840"><b title="只只">只<div class="soil">鐻谑</div>只</b></a>
INFO - 2019-01-07 00:35:57,081 - 点击歌曲<a href="/song?id=504826080"><b title="路过南京，路过你">路过南<div class="soil">贬畚馿</div>京，路过你</b></a>
INFO - 2019-01-07 00:36:10,543 - 点击歌曲<a href="/song?id=374597"><b title="你被写在我的歌里">你被<div class="soil">铡詽礚滀</div>写在我的歌里</b></a>
INFO - 2019-01-07 00:36:27,071 - 点击歌曲<a href="/song?id=450041299"><b title="我赖你">我<div class="soil">系只行带月</div>赖你</b></a>
INFO - 2019-01-07 00:36:40,680 - 点击歌曲<a href="/song?id=85571"><b title="我们俩">我<div class="soil">进书</div>们俩</b></a>
INFO - 2019-01-07 00:36:54,261 - 点击歌曲<a href="/song?id=376417"><b title="一生有你">一<div class="soil">碉犠俧</div>生有你</b></a>
INFO - 2019-01-07 00:37:07,824 - 点击歌曲<a href="/song?id=427016671"><b title="爱你就像爱生命">爱你就<div class="soil">被果装</div>像爱生命</b></a>
INFO - 2019-01-07 00:37:25,958 - 点击歌曲<a href="/song?id=186843"><b title="月亮代表我的心">月<div class="soil">廖杅</div>亮代表我的心</b></a>
INFO - 2019-01-07 00:37:39,757 - 点击歌曲<a href="/song?id=498482991"><b title="月光">月<div class="soil">济保</div>光</b></a>
INFO - 2019-01-07 00:37:55,057 - 点击歌曲<a href="/song?id=108503"><b title="期待爱">期<div class="soil">咷焙莂狌</div>待爱</b></a>
INFO - 2019-01-07 00:38:08,332 - 点击歌曲<a href="/song?id=191924"><b title="最特别的存在">最特别的<div class="soil">幆</div>存在</b></a>
INFO - 2019-01-07 00:38:21,667 - 点击歌曲<a href="/song?id=5267256"><b title="爱很简单">爱<div class="soil">统经</div>很简单</b></a>
INFO - 2019-01-07 00:38:34,843 - 点击歌曲<a href="/song?id=25884676"><b title="幸福预兆">幸<div class="soil">了权老手地</div>福预兆</b></a>
INFO - 2019-01-07 00:38:48,053 - 点击歌曲<a href="/song?id=63876"><b title="离不开你">离<div class="soil">靮単鏠</div>不开你</b></a>
INFO - 2019-01-07 00:39:01,400 - 点击歌曲<a href="/song?id=1305154813"><b title="余温">余<div class="soil">算它资</div>温</b></a>
INFO - 2019-01-07 00:39:16,669 - 点击歌曲<a href="/song?id=558759908"><b title="如你">如<div class="soil">置细京带到</div>你</b></a>
INFO - 2019-01-07 00:39:32,183 - 点击歌曲<a href="/song?id=497131712"><b title="稀罕没理由">稀罕<div class="soil">澁巘</div>没理由</b></a>
INFO - 2019-01-07 00:39:47,648 - 点击歌曲<a href="/song?id=1336372554"><b title="填满美梦">填满<div class="soil">该賭撌隞</div>美梦</b></a>
INFO - 2019-01-07 00:40:02,484 - 点击歌曲<a href="/song?id=233974"><b title="我的秘密">我的<div class="soil">证示行</div>秘密</b></a>
INFO - 2019-01-07 00:40:17,505 - 点击歌曲<a href="/song?id=25638599"><b title="两个人的烟火">两个<div class="soil">反求两</div>人的烟火</b></a>
INFO - 2019-01-07 00:40:32,461 - 点击歌曲<a href="/song?id=31260347"><b title="最难过，最美好的回忆">最难过，<div class="soil">嗇谘弫</div>最美好的回忆</b></a>
INFO - 2019-01-07 00:40:47,847 - 点击歌曲<a href="/song?id=556145357"><b title="穿梭">穿<div class="soil">溮褶曏煚</div>梭</b></a>
INFO - 2019-01-07 00:41:02,893 - 点击歌曲<a href="/song?id=457051526"><b title="小拳拳捶你胸口">小拳<div class="soil">旵壺捼</div>拳捶你胸口</b></a>
INFO - 2019-01-07 00:41:18,266 - 点击歌曲<a href="/song?id=108468"><b title="小酒窝">小<div class="soil">值色气</div>酒窝</b></a>
INFO - 2019-01-07 00:41:33,400 - 点击歌曲<a href="/song?id=85621"><b title="第一次">第<div class="soil">车容议</div>一次</b></a>
INFO - 2019-01-07 00:41:48,676 - 点击歌曲<a href="/song?id=537208061"><b title="谈情说爱">谈<div class="soil">可关</div>情说爱</b></a>
INFO - 2019-01-07 00:42:03,059 - 点击歌曲<a href="/song?id=165340"><b title="有点甜">有<div class="soil">还权局基</div>点甜</b></a>
INFO - 2019-01-07 00:42:16,799 - 点击歌曲<a href="/song?id=165375"><b title="专属味道">专<div class="soil">纵怹</div>属味道</b></a>
INFO - 2019-01-07 00:42:29,937 - 点击歌曲<a href="/song?id=29408659"><b title="我想和你看电影">我想和你<div class="soil">雑嫁芡咵</div>看电影</b></a>
INFO - 2019-01-07 00:42:43,202 - 点击歌曲<a href="/song?id=479219330"><b title="我一定会爱上你">我<div class="soil">媵</div>一定会爱上你</b></a>
INFO - 2019-01-07 00:42:56,766 - 点击歌曲<a href="/song?id=506092654"><b title="我看着你的时候">我<div class="soil">公从事则</div>看着你的时候</b></a>
INFO - 2019-01-07 00:43:10,157 - 点击歌曲<a href="/song?id=28103419"><b title="想定下来">想<div class="soil">性间基消</div>定下来</b></a>
INFO - 2019-01-07 00:43:23,839 - 点击歌曲<a href="/song?id=505451271"><b title="初次见面">初<div class="soil">切土么</div>次见面</b></a>
INFO - 2019-01-07 00:43:37,048 - 点击歌曲<a href="/song?id=247491"><b title="爱的魔法">爱<div class="soil">曒萫裬煿</div>的魔法</b></a>
INFO - 2019-01-07 00:43:50,529 - 点击歌曲<a href="/song?id=33599673"><b title="超想见你">超想<div class="soil">出就话经</div>见你</b></a>
INFO - 2019-01-07 00:44:05,068 - 点击歌曲<a href="/song?id=26425119"><b title="那个女孩">那个<div class="soil">讥迒</div>女孩</b></a>
INFO - 2019-01-07 00:44:18,295 - 点击歌曲<a href="/song?id=469699266"><b title="最美情侣">最美<div class="soil">襄</div>情侣</b></a>
INFO - 2019-01-07 00:44:31,905 - 点击歌曲<a href="/song?id=25642952"><b title="我们的歌">我<div class="soil">过业议</div>们的歌</b></a>
INFO - 2019-01-07 00:44:45,592 - 点击歌曲<a href="/song?id=150422"><b title="今天你要嫁给我">今天<div class="soil">在养</div>你要嫁给我</b></a>
INFO - 2019-01-07 00:44:58,937 - 点击歌曲<a href="/song?id=354620"><b title="只对你有感觉">只对你<div class="soil">昑</div>有感觉</b></a>
INFO - 2019-01-07 00:45:12,621 - 点击歌曲<a href="/song?id=191179"><b title="看月亮爬上来">看月<div class="soil">住精器</div>亮爬上来</b></a>
INFO - 2019-01-07 00:45:25,994 - 点击歌曲<a href="/song?id=29755139"><b title="星座恋人">星座<div class="soil">菏斪</div>恋人</b></a>
INFO - 2019-01-07 00:45:39,253 - 点击歌曲<a href="/song?id=516358518"><b title="莫名奇妙爱上你">莫<div class="soil">椒</div>名奇妙爱上你</b></a>
INFO - 2019-01-07 00:45:52,982 - 点击歌曲<a href="/song?id=33206214"><b title="小幸运 - (电影《我的少女时代》主题曲)">小<div class="soil">门形技满</div>幸运</b></a>
INFO - 2019-01-07 00:46:06,346 - 点击歌曲<a href="/song?id=864647456"><b title="Lover&nbsp;Boy&nbsp;88">Lover&nbsp;Bo<div class="soil">r</div>y&nbsp;88</b></a>
INFO - 2019-01-07 00:46:19,713 - 点击歌曲<a href="/song?id=247495"><b title="我们结婚吧">我们结<div class="soil">却展从场</div>婚吧</b></a>
INFO - 2019-01-07 00:46:33,108 - 点击歌曲<a href="/song?id=864100958"><b title="小鹿乱撞">小<div class="soil">臻鵷</div>鹿乱撞</b></a>
INFO - 2019-01-07 00:46:47,753 - 点击歌曲<a href="/song?id=434070103"><b title="我喜欢你胜过削好的水果周末的零食延后的死线冰镇西瓜正中间的那一口肆无忌惮的赖床和空调房里盖棉被的感觉但我就是不敢告诉你（Cover：魏如萱）">我喜欢你胜过削好的水果周末的零食延后的死线冰镇西瓜<div class="soil">用要备</div>正中间的那一口肆无忌惮的赖床和空调房里盖棉被的感觉但我就是不敢告诉你（Cover：魏如萱）</b></a>
INFO - 2019-01-07 00:47:01,883 - 点击歌曲<a href="/song?id=4873544"><b title="你曾经让我心动">你曾经让我<div class="soil">岍</div>心动</b></a>
INFO - 2019-01-07 00:47:15,695 - 点击歌曲<a href="/song?id=297494"><b title="心电心">心<div class="soil">角内被</div>电心</b></a>
INFO - 2019-01-07 00:47:29,243 - 点击歌曲<a href="/song?id=177074"><b title="就想赖着你">就<div class="soil">改受</div>想赖着你</b></a>
INFO - 2019-01-07 00:47:42,685 - 点击歌曲<a href="/song?id=546279760"><b title="目不转睛">目不<div class="soil">鋰逧</div>转睛</b></a>
INFO - 2019-01-07 00:47:56,105 - 点击歌曲<a href="/song?id=25698049"><b title="一生守候">一生<div class="soil">更习从交此</div>守候</b></a>
INFO - 2019-01-07 00:48:10,623 - 点击歌曲<a href="/song?id=375295"><b title="触电">触<div class="soil">譝肚埾良</div>电</b></a>
INFO - 2019-01-07 00:48:23,994 - 点击歌曲<a href="/song?id=505446115"><b title="樱花粉的浪漫">樱花粉<div class="soil">鰟馲</div>的浪漫</b></a>
INFO - 2019-01-07 00:48:37,581 - 点击歌曲<a href="/song?id=25729074"><b title="因你而在">因<div class="soil">类观</div>你而在</b></a>
INFO - 2019-01-07 00:48:51,763 - 点击歌曲<a href="/song?id=1296583188"><b title="星球坠落&nbsp;(Live)">星球坠落&nbsp;(Li<div class="soil">sTb4</div>ve)</b></a>
INFO - 2019-01-07 00:49:05,471 - 点击歌曲<a href="/song?id=144509"><b title="对面的女孩看过来">对<div class="soil">畟</div>面的女孩看过来</b></a>
INFO - 2019-01-07 00:49:20,433 - 点击歌曲<a href="/song?id=421808009"><b title="全面沦陷 - (原曲：I&nbsp;Wanna&nbsp;Hear&nbsp;You&nbsp;Say)">全<div class="soil">增民</div>面沦陷</b></a>
INFO - 2019-01-07 00:49:33,876 - 点击歌曲<a href="/song?id=63650"><b title="独家记忆">独家<div class="soil">宁飀</div>记忆</b></a>
INFO - 2019-01-07 00:49:47,318 - 点击歌曲<a href="/song?id=156193"><b title="为你写诗">为你<div class="soil">砩颬彑腧</div>写诗</b></a>
INFO - 2019-01-07 00:50:00,876 - 点击歌曲<a href="/song?id=519913462"><b title="做我的猫">做<div class="soil">张装革</div>我的猫</b></a>
INFO - 2019-01-07 00:50:14,631 - 点击歌曲<a href="/song?id=89805"><b title="对你爱不完">对你爱<div class="soil">期定家</div>不完</b></a>
INFO - 2019-01-07 00:50:28,125 - 点击歌曲<a href="/song?id=27483167"><b title="唯一">唯<div class="soil">却来向</div>一</b></a>
INFO - 2019-01-07 00:50:41,666 - 点击歌曲<a href="/song?id=150430"><b title="就是爱你">就是<div class="soil">完备放能</div>爱你</b></a>
INFO - 2019-01-07 00:50:55,723 - 点击歌曲<a href="/song?id=1309833126"><b title="粉色苏打">粉色<div class="soil">办者</div>苏打</b></a>
INFO - 2019-01-07 00:51:08,860 - 点击歌曲<a href="/song?id=1325897842"><b title="告白">告<div class="soil">沴蜉躍禭</div>白</b></a>
INFO - 2019-01-07 00:51:25,225 - 点击歌曲<a href="/song?id=1318530025"><b title="我不喜欢这世界只喜欢你">我不喜欢<div class="soil">濄氭垻</div>这世界只喜欢你</b></a>
INFO - 2019-01-07 01:39:29,468 - 开始执行脚本 index.py
INFO - 2019-01-07 01:39:45,378 - 点击歌单: <a title="新的一年，希望你喜欢的人也喜欢你" href="/playlist?id=2553249650" class="msk" data-res-id="2553249650" data-res-type="13" data-res-action="log" data-res-data="recommendclick|0|featured|user-playlist"></a>
WARNING - 2019-01-07 01:39:53,185 - (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '://p3.music.126.net/3t8vLEdBM8ahwJVdt6c3GA==/109951163761633425.jpg?param=200y20' at line 1")
INFO - 2019-01-07 01:41:48,013 - 开始执行脚本 index.py
INFO - 2019-01-07 01:42:04,197 - 点击歌单: <a title="新的一年，希望你喜欢的人也喜欢你" href="/playlist?id=2553249650" class="msk" data-res-id="2553249650" data-res-type="13" data-res-action="log" data-res-data="recommendclick|0|featured|user-playlist"></a>
WARNING - 2019-01-07 01:42:11,991 - (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '://p4.music.126.net/3t8vLEdBM8ahwJVdt6c3GA==/109951163761633425.jpg?param=200y20' at line 1")
WARNING - 2019-01-07 01:42:12,181 - (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '/song?id=573384240, 如约而至, 寻宝游戏, 许嵩, NULL, 04:15, NULL, 25532' at line 1")
WARNING - 2019-01-07 01:42:12,327 - (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '/song?id=92778, 她的眼睛会下雨, 蓝光&nbsp;新歌+精选, 胡歌, NULL, ' at line 1")
WARNING - 2019-01-07 01:42:12,474 - (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '/song?id=557407051, 每一句都很甜, 每一句都很甜, 新乐尘符, NULL, ' at line 1")
WARNING - 2019-01-07 01:42:12,628 - (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '/song?id=519136840, 只只, 只只, 孟凡明, NULL, 03:54, NULL, 2553249650)' at line 1")
WARNING - 2019-01-07 01:42:12,810 - (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '/song?id=504826080, 路过南京，路过你, 路过南京，路过你, 江皓' at line 1")
WARNING - 2019-01-07 01:42:12,966 - (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '/song?id=374597, 你被写在我的歌里, 你在烦恼什么, 苏打绿/陈嘉' at line 1")
WARNING - 2019-01-07 01:42:13,118 - (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '/song?id=450041299, 我赖你, 我赖你, 苏打绿, NULL, 04:18, NULL, 25532496' at line 1")
WARNING - 2019-01-07 01:42:13,263 - (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '/song?id=85571, 我们俩, 微微, 郭顶, NULL, 03:13, NULL, 2553249650)' at line 1")
WARNING - 2019-01-07 01:42:13,406 - (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '/song?id=376417, 一生有你, 一生有你, 水木年华, NULL, 04:18, NULL, 25' at line 1")
WARNING - 2019-01-07 01:42:13,550 - (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '/song?id=427016671, 爱你就像爱生命, 爱你就像爱生命, 房东的猫, ' at line 1")
WARNING - 2019-01-07 01:42:13,694 - (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '/song?id=186843, 月亮代表我的心, 钟情张国荣, 张国荣, NULL, 04:10,' at line 1")
WARNING - 2019-01-07 01:42:13,839 - (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '/song?id=498482991, 月光, 月光, 陶峻汐, NULL, 04:18, NULL, 2553249650)' at line 1")
WARNING - 2019-01-07 01:42:13,998 - (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '/song?id=108503, 期待爱, JJ陆, 林俊杰/金莎, NULL, 03:54, NULL, 25532496' at line 1")
WARNING - 2019-01-07 01:42:14,144 - (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '/song?id=191924, 最特别的存在, 深情痞子&nbsp;仔仔精选&nbsp;2001-20' at line 1")
WARNING - 2019-01-07 01:42:14,288 - (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '/song?id=5267256, 爱很简单, 闭上眼睛去旅行&nbsp;2, 陶喆, NULL, 04:3' at line 1")
WARNING - 2019-01-07 01:42:14,436 - (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '/song?id=25884676, 幸福预兆, 仰望, 杨丞琳, NULL, 04:00, NULL, 255324965' at line 1")
WARNING - 2019-01-07 01:42:14,594 - (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '/song?id=63876, 离不开你, 黑洞, 陈小春, NULL, 04:44, NULL, 2553249650)' at line 1")
WARNING - 2019-01-07 01:42:14,738 - (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '/song?id=1305154813, 余温, 余温, 石恩隆, NULL, 04:57, NULL, 2553249650)' at line 1")
WARNING - 2019-01-07 01:42:14,890 - (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '/song?id=558759908, 如你, 如你, 董超Silence, NULL, 03:22, NULL, 2553249650' at line 1")
WARNING - 2019-01-07 01:42:15,039 - (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '/song?id=497131712, 稀罕没理由, illi异类, 潘玮柏/吴昕, NULL, 03:59, ' at line 1")
WARNING - 2019-01-07 01:42:15,185 - (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '/song?id=1336372554, 填满美梦, 填满美梦, 翟宇锋, NULL, 03:07, NULL, 2' at line 1")
WARNING - 2019-01-07 01:42:15,332 - (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '/song?id=233974, 我的秘密, A.I.N.Y.&nbsp;爱你, G.E.M.邓紫棋, NULL, 04:1' at line 1")
WARNING - 2019-01-07 01:42:15,476 - (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '/song?id=25638599, 两个人的烟火, 烟火&nbsp;新曲+精选, 黎明, NULL, ' at line 1")
WARNING - 2019-01-07 01:42:15,624 - (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '/song?id=31260347, 最难过，最美好的回忆, 最难过，最美好的回' at line 1")
WARNING - 2019-01-07 01:42:15,777 - (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '/song?id=556145357, 穿梭, 穿梭, 赵学昊, NULL, 03:15, NULL, 2553249650)' at line 1")
WARNING - 2019-01-07 01:42:15,919 - (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '/song?id=457051526, 小拳拳捶你胸口, 小拳拳捶你胸口, 西瓜JUN, NUL' at line 1")
WARNING - 2019-01-07 01:42:16,067 - (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '/song?id=108468, 小酒窝, JJ陆, 林俊杰/蔡卓妍, NULL, 03:38, NULL, 25532' at line 1")
